MITRE Tactic/Technique,Timestamp,From,To,IOC Extracted
T1071.001,2020-06-21T20:42:05.188581,poll@q3mcco35auwcstmt.onion,stern@q3mcco35auwcstmt.onion,privnote.com
T1566.002,2020-06-21T20:42:05.188581,poll@q3mcco35auwcstmt.onion,stern@q3mcco35auwcstmt.onion,privnote.com
T1071.001,2020-06-22T07:54:30.241365,target@q3mcco35auwcstmt.onion,buza@q3mcco35auwcstmt.onion,www.zdnet.com
T1071.004,2020-06-22T07:54:30.241365,target@q3mcco35auwcstmt.onion,buza@q3mcco35auwcstmt.onion,www.zdnet.com
T1071.001,2020-06-22T08:07:33.914289,van@q3mcco35auwcstmt.onion,bentley@q3mcco35auwcstmt.onion,qaz.im
T1071.001,2020-06-22T08:07:52.058970,mavemat@q3mcco35auwcstmt.onion,steller@q3mcco35auwcstmt.onion,63.141.224.42
T1071.001,2020-06-22T08:08:03.373544,mavemat@q3mcco35auwcstmt.onion,steller@q3mcco35auwcstmt.onion,63.141.224.42
T1585.002,2020-06-22T08:31:13.338104,carter@q3mcco35auwcstmt.onion,stern@q3mcco35auwcstmt.onion,timman@tutanota.com
T1585.002,2020-06-22T08:31:13.338104,carter@q3mcco35auwcstmt.onion,stern@q3mcco35auwcstmt.onion,max3100@protonmail.com
T1585.002,2020-06-22T08:31:13.338104,carter@q3mcco35auwcstmt.onion,stern@q3mcco35auwcstmt.onion,warabail@tutamail.com
T1585.002,2020-06-22T08:31:13.338104,carter@q3mcco35auwcstmt.onion,stern@q3mcco35auwcstmt.onion,tuta.io
T1585.002,2020-06-22T08:31:13.338104,carter@q3mcco35auwcstmt.onion,stern@q3mcco35auwcstmt.onion,ccncco@protonmail.com
T1585.002,2020-06-22T08:31:13.338104,carter@q3mcco35auwcstmt.onion,stern@q3mcco35auwcstmt.onion,husbrand@protonmail.com
T1585.002,2020-06-22T08:31:13.338104,carter@q3mcco35auwcstmt.onion,stern@q3mcco35auwcstmt.onion,backing.com
T1585.002,2020-06-22T08:31:13.338104,carter@q3mcco35auwcstmt.onion,stern@q3mcco35auwcstmt.onion,whoer.net
